num_nodes,trial 0,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,trial 11,trial 12,trial 13,trial 14,trial 15,trial 16,trial 17,trial 18,trial 19,trial 20,trial 21,trial 22,trial 23,trial 24,trial 25,trial 26,trial 27,trial 28,trial 29,trial 30,trial 31,trial 32,trial 33,trial 34,trial 35,trial 36,trial 37,trial 38,trial 39,trial 40,trial 41,trial 42,trial 43,trial 44,trial 45,trial 46,trial 47,trial 48,trial 49,trial 50,trial 51,trial 52,trial 53,trial 54,trial 55,trial 56,trial 57,trial 58,trial 59,trial 60,trial 61,trial 62,trial 63,trial 64,trial 65,trial 66,trial 67,trial 68,trial 69,trial 70,trial 71,trial 72,trial 73,trial 74,trial 75,trial 76,trial 77,trial 78,trial 79,trial 80,trial 81,trial 82,trial 83,trial 84,trial 85,trial 86,trial 87,trial 88,trial 89,trial 90,trial 91,trial 92,trial 93,trial 94,trial 95,trial 96,trial 97,trial 98,trial 99,trial 100,trial 101,trial 102,trial 103,trial 104,trial 105,trial 106,trial 107,trial 108,trial 109,trial 110,trial 111,trial 112,trial 113,trial 114,trial 115,trial 116,trial 117,trial 118,trial 119,trial 120,trial 121,trial 122,trial 123,trial 124,trial 125,trial 126,trial 127,trial 128,trial 129,trial 130,trial 131,trial 132,trial 133,trial 134,trial 135,trial 136,trial 137,trial 138,trial 139,trial 140,trial 141,trial 142,trial 143,trial 144,trial 145,trial 146,trial 147,trial 148,trial 149,trial 150,trial 151,trial 152,trial 153,trial 154,trial 155,trial 156,trial 157,trial 158,trial 159,trial 160,trial 161,trial 162,trial 163,trial 164,trial 165,trial 166,trial 167,trial 168,trial 169,trial 170,trial 171,trial 172,trial 173,trial 174,trial 175,trial 176,trial 177,trial 178,trial 179,trial 180,trial 181,trial 182,trial 183,trial 184,trial 185,trial 186,trial 187,trial 188,trial 189,trial 190,trial 191,trial 192,trial 193,trial 194,trial 195,trial 196,trial 197,trial 198,trial 199,trial 200,trial 201,trial 202,trial 203,trial 204,trial 205,trial 206,trial 207,trial 208,trial 209,trial 210,trial 211,trial 212,trial 213,trial 214,trial 215,trial 216,trial 217,trial 218,trial 219,trial 220,trial 221,trial 222,trial 223,trial 224,trial 225,trial 226,trial 227,trial 228,trial 229,trial 230,trial 231,trial 232,trial 233,trial 234,trial 235,trial 236,trial 237,trial 238,trial 239,trial 240,trial 241,trial 242,trial 243,trial 244,trial 245,trial 246,trial 247,trial 248,trial 249,trial 250,trial 251,trial 252,trial 253,trial 254,trial 255,trial 256,trial 257,trial 258,trial 259,trial 260,trial 261,trial 262,trial 263,trial 264,trial 265,trial 266,trial 267,trial 268,trial 269,trial 270,trial 271,trial 272,trial 273,trial 274,trial 275,trial 276,trial 277,trial 278,trial 279,trial 280,trial 281,trial 282,trial 283,trial 284,trial 285,trial 286,trial 287,trial 288,trial 289,trial 290,trial 291,trial 292,trial 293,trial 294,trial 295,trial 296,trial 297,trial 298,trial 299
20,0.141651,0.139541,0.140342,0.138897,0.140256,0.140278,0.141728,0.141629,0.140458,0.141875,0.138777,0.13899,0.138334,0.140392,0.139923,0.137149,0.141135,0.141541,0.139733,0.138789,0.140392,0.141992,0.140664,0.139613,0.141143,0.140037,0.141518,0.140879,0.138727,0.139204,0.136639,0.139044,0.138069,0.138641,0.138895,0.137555,0.141461,0.140809,0.139143,0.138978,0.136752,0.138367,0.139409,0.136702,0.137307,0.140211,0.13875,0.140841,0.139186,0.141861,0.140954,0.140144,0.137417,0.139508,0.137674,0.14021,0.139504,0.138929,0.139303,0.140323,0.140648,0.14179,0.141519,0.141284,0.138747,0.139247,0.138156,0.138688,0.13866,0.139524,0.138636,0.137166,0.138877,0.137657,0.139399,0.139632,0.140142,0.140214,0.138553,0.137506,0.141651,0.140213,0.140898,0.138895,0.140102,0.1399,0.139462,0.141091,0.139011,0.139419,0.138943,0.140276,0.138529,0.138594,0.139527,0.13811,0.136579,0.140348,0.141225,0.138951,0.135202,0.13454,0.134818,0.134226,0.133959,0.13564,0.134081,0.135127,0.136443,0.134261,0.134133,0.133388,0.135313,0.134568,0.135699,0.133346,0.135976,0.133724,0.135848,0.133107,0.134818,0.134954,0.135487,0.135086,0.134619,0.133378,0.13613,0.133034,0.133946,0.134868,0.135896,0.133055,0.13692,0.135506,0.136423,0.132906
30,0.237666,0.237521,0.232514,0.234208,0.233518,0.235768,0.233427,0.233752,0.236263,0.235839,0.235342,0.235229,0.230525,0.23165,0.23439,0.235989,0.237108,0.229955,0.229843,0.233863,0.233608,0.234378,0.237014,0.239083,0.233487,0.23297,0.23245,0.234663,0.233778,0.230513,0.237595,0.235132,0.234196,0.23725,0.231736,0.236671,0.232009,0.230238,0.235598,0.2322,0.231986,0.23177,0.239975,0.230077,0.232055,0.231003,0.239534,0.234965,0.230927,0.2334,0.235796,0.23437,0.235786,0.237727,0.231512,0.236788,0.233645,0.23927,0.232413,0.237422,0.235648,0.235063,0.232214,0.231469,0.233204,0.235607,0.233656,0.234205,0.231542,0.23296,0.23436,0.23256,0.238397,0.23571,0.232545,0.238452,0.237132,0.232214,0.238483,0.236059,0.235974,0.232552,0.230577,0.23384,0.232899,0.235026,0.232535,0.235268,0.236029,0.232897,0.237476,0.238972,0.238703,0.231558,0.238046,0.239621,0.231806,0.234205,0.235216,0.237278,0.230074,0.224576,0.227098,0.225576,0.223109,0.222259,0.226654,0.223436,0.226771,0.226996,0.227569,0.225667,0.224648,0.224218,0.225301,0.228578,0.229382,0.229607,0.224033,0.225542,0.228472,0.226712,0.226929,0.224311,0.229176,0.226264,0.229298,0.223778,0.227778,0.226175,0.224286,0.226821,0.2272,0.227587,0.229678,0.224568
40,0.320717,0.32256,0.318783,0.328625,0.324691,0.32078,0.321525,0.324144,0.324159,0.321368,0.322114,0.316226,0.324719,0.326458,0.32974,0.325649,0.326241,0.323154,0.317886,0.321539,0.322134,0.322038,0.322187,0.320207,0.320218,0.323427,0.317129,0.319238,0.322409,0.325597,0.326725,0.324627,0.32656,0.32064,0.327973,0.325179,0.322779,0.325924,0.326451,0.319708,0.316278,0.320345,0.323242,0.324557,0.323945,0.32611,0.326614,0.32326,0.325458,0.320902,0.322759,0.320971,0.322844,0.319639,0.324959,0.316432,0.326908,0.325749,0.31804,0.323196,0.324739,0.319712,0.319925,0.322934,0.325268,0.32331,0.318665,0.330051,0.318321,0.317905,0.321208,0.324136,0.324162,0.32752,0.327798,0.326787,0.322297,0.321897,0.322737,0.323522,0.326493,0.326375,0.324854,0.324024,0.327134,0.326661,0.328054,0.329046,0.322297,0.320264,0.323061,0.322707,0.324462,0.321366,0.320949,0.319779,0.323024,0.318018,0.320799,0.323043,0.30488,0.309751,0.31263,0.312361,0.310237,0.311678,0.310562,0.311804,0.311471,0.31596,0.305209,0.30599,0.308849,0.310043,0.311362,0.316209,0.305997,0.309496,0.305069,0.307558,0.309671,0.31098,0.312706,0.315945,0.308296,0.309905,0.308308,0.313678,0.311735,0.310234,0.310671,0.308117,0.309115,0.310135,0.312588,0.312778
50,0.787272,0.790192,0.790831,0.784291,0.792045,0.793458,0.784578,0.782816,0.797805,0.785424,0.796793,0.799778,0.803945,0.789555,0.794131,0.793715,0.795075,0.790507,0.392888,0.794705,0.788214,0.796884,0.789567,0.788299,0.791435,0.791715,0.793454,0.791461,0.798918,0.783292,0.788856,0.385962,0.791723,0.791334,0.790378,0.785772,0.798696,0.788565,0.788728,0.789944,0.784056,0.786748,0.787268,0.792493,0.795872,0.786955,0.791223,0.790428,0.800114,0.796053,0.788005,0.79864,0.788485,0.796422,0.797724,0.794195,0.789015,0.393563,0.79054,0.78501,0.799578,0.803466,0.791983,0.798327,0.799284,0.799564,0.792186,0.786529,0.801742,0.784997,0.796531,0.79649,0.788937,0.793051,0.392428,0.796085,0.783769,0.7959,0.793579,0.792594,0.79814,0.797784,0.795935,0.783901,0.386418,0.791794,0.797948,0.794764,0.794056,0.795071,0.789189,0.785838,0.397824,0.792797,0.786562,0.783623,0.785664,0.386835,0.796855,0.788809,0.768731,0.770576,0.769166,0.76512,0.765325,0.766915,0.76221,0.758051,0.765115,0.76415,0.764227,0.765103,0.383938,0.76468,0.763481,0.766785,0.38012,0.766119,0.76603,0.766517,0.776613,0.765549,0.761526,0.776454,0.374024,0.762058,0.762632,0.766991,0.769512,0.763698,0.77009,0.772658,0.766718,0.766409,0.771242,0.758557
60,0.875125,0.871409,0.880834,0.876462,0.876693,0.869833,0.882213,0.877474,0.887218,0.877942,0.87207,0.883152,0.881696,0.874537,0.882239,0.871001,0.874411,0.876356,0.87972,0.879387,0.87095,0.873352,0.871382,0.881791,0.876498,0.873287,0.880266,0.875511,0.869918,0.876034,0.867378,0.876613,0.877468,0.873095,0.87475,0.876999,0.874869,0.873857,0.879742,0.880802,0.878009,0.881962,0.878852,0.877781,0.8716,0.881199,0.88236,0.870484,0.889052,0.876985,0.873238,0.8686,0.87919,0.864921,0.874434,0.877952,0.875915,0.87935,0.871082,0.880127,0.877502,0.881823,0.883139,0.877135,0.882512,0.865834,0.880697,0.879698,0.883396,0.876889,0.881395,0.875094,0.871012,0.869913,0.877883,0.874822,0.876347,0.873423,0.873269,0.874669,0.87492,0.880298,0.875088,0.87607,0.872755,0.870776,0.882977,0.877335,0.882596,0.87422,0.879354,0.872287,0.876477,0.876593,0.879064,0.87462,0.881737,0.877952,0.868869,0.875304,0.845094,0.843657,0.856395,0.853167,0.851244,0.847112,0.83733,0.853044,0.85501,0.840706,0.850446,0.847124,0.856346,0.838556,0.852601,0.851113,0.851274,0.842281,0.84734,0.856603,0.846759,0.845169,0.848783,0.863658,0.850643,0.859026,0.845362,0.856638,0.85209,0.849114,0.839443,0.845373,0.852734,0.850982,0.840887,0.849027
70,1.037613,1.054311,1.053039,1.04929,1.046757,1.052701,1.041469,1.051048,1.042193,1.040488,1.040438,1.040737,1.041239,1.045493,1.038657,1.040038,1.046048,1.06191,1.053022,1.058575,1.050225,1.053147,1.059417,1.039181,1.044724,1.048736,1.039174,1.054467,1.055268,1.057063,1.049377,1.051942,1.042764,1.047549,1.045192,1.050949,1.049462,1.032711,1.059647,1.049437,1.051117,1.041964,1.054793,1.044825,1.053876,1.049333,1.042727,1.050805,1.041076,1.049049,1.048786,1.055233,1.056899,1.051843,1.050463,1.05042,1.048406,1.055041,1.055026,1.051154,1.05181,1.045672,1.044517,1.049724,1.043765,1.047542,1.047084,1.049985,1.03287,1.040827,1.049338,1.042052,1.038351,1.042144,1.05364,1.046956,1.044673,1.047914,1.053978,1.051558,1.047676,1.044876,1.045306,1.04743,1.049585,1.05077,1.063325,1.042264,1.043716,1.049547,1.045864,1.037334,1.060857,1.049239,1.045955,1.042752,1.051689,1.04781,1.045453,1.050255,1.020768,1.021889,1.018447,1.021899,1.005541,1.015623,1.011876,1.013056,1.004421,1.017121,1.011582,1.016621,1.007187,1.01605,1.00327,1.018255,1.017779,1.013172,1.018905,1.026473,1.020541,1.019293,1.01908,1.020835,1.025891,1.018577,1.010488,1.019083,1.011743,1.019601,1.017819,1.007879,1.012706,1.021189,1.012434,1.01963
80,1.137677,1.139833,1.146288,1.145043,1.149327,1.147104,1.147947,1.147372,1.144338,1.142174,1.135871,1.142101,1.148971,1.140497,1.139135,1.142263,1.145687,1.138635,1.137133,1.13927,1.134122,1.137656,1.136839,1.127807,1.151336,1.145329,1.131522,1.129438,1.145658,1.137304,1.14392,1.148023,1.134108,1.13861,1.135454,1.136784,1.142235,1.147164,1.134664,1.122941,1.13281,1.147436,1.149357,1.130998,1.144876,1.151196,1.152726,1.143285,1.14796,1.141942,1.153262,1.154679,1.139049,1.141056,1.13103,1.136415,1.13841,1.132948,1.126675,1.14372,1.129963,1.143904,1.133801,1.150197,1.138711,1.148791,1.152154,1.142449,1.163909,1.138135,1.12887,1.144616,1.145962,1.127538,1.145305,1.141194,1.135275,1.141427,1.149194,1.140119,1.139929,1.140211,1.13859,1.136595,1.130949,1.145361,1.14534,1.131589,1.13535,1.147637,1.13242,1.141877,1.149097,1.13514,1.146114,1.135646,1.143874,1.146312,1.135797,1.135787,1.107181,1.117941,1.102185,1.104071,1.089949,1.108192,1.107562,1.101196,1.108128,1.107066,1.105169,1.113598,1.107574,1.105159,1.106299,1.104728,1.125364,1.099558,1.096418,1.104025,1.109187,1.116934,1.103068,1.100754,1.104623,1.107621,1.097916,1.111272,1.103462,1.103421,1.097073,1.113598,1.113823,1.109284,1.099478,1.103542
90,1.262719,1.272403,1.283682,1.271823,1.268872,1.293771,1.288547,1.260032,1.257384,1.271089,1.257966,1.27111,1.25953,1.256974,1.262207,1.262815,1.272033,1.267742,1.26288,1.268206,1.264176,1.263286,1.26749,1.281955,1.275827,1.264876,1.258915,1.277039,1.277011,1.254385,1.259057,1.269047,1.276605,1.260081,1.265304,1.270805,1.265961,1.287717,1.274029,1.260854,1.272291,1.264333,1.267021,1.265307,1.262566,1.264802,1.270651,1.266591,1.279081,1.270641,1.275155,1.280135,1.261969,1.26846,1.266641,1.283867,1.265666,1.26004,1.266045,1.272528,1.268237,1.268223,1.265826,1.2724,1.261596,1.268767,1.274143,1.262034,1.281155,1.277147,1.27972,1.247689,1.277543,1.270674,1.278509,1.30031,1.267743,1.283144,1.26603,1.269952,1.289801,1.268927,1.275973,1.277695,1.261774,1.281031,1.282105,1.274066,1.261625,1.281212,1.273211,1.283887,1.274238,1.248457,1.282157,1.261622,1.283054,1.266174,1.259622,1.268338,1.224071,1.23251,1.23549,1.239596,1.230062,1.236744,1.229912,1.244038,1.221592,1.240264,1.237161,1.228331,1.220832,1.233773,1.241972,1.242685,1.243917,1.240667,1.226722,1.239809,1.228126,1.241939,1.227023,1.241157,1.226433,1.240751,1.233196,1.240542,1.224475,1.232379,1.222291,1.23807,1.23272,1.218996,1.228178,1.22953
100,1.44888,1.452315,1.436608,1.421583,1.436642,1.446576,1.445215,1.423018,1.431525,1.442586,1.433395,1.451111,1.459639,1.462053,1.441899,1.435674,1.43722,1.453138,1.446588,1.435804,1.436158,1.437382,1.451162,1.44803,1.433423,1.447041,1.43796,1.441204,1.431336,1.446128,1.437782,1.440495,1.442754,1.445674,1.429493,1.446581,1.441246,1.452503,1.428253,1.448792,1.45861,1.448589,1.434315,1.421759,1.45442,1.452309,1.45921,1.443917,1.427905,1.454347,1.43513,1.44396,1.445898,1.425691,1.456465,1.433705,1.427013,1.441012,1.441481,1.44907,1.446927,1.432444,1.439936,1.434531,1.432326,1.422033,1.429497,1.429444,1.45117,1.444962,1.433733,1.458878,1.464328,1.438365,1.444182,1.42376,1.44641,1.431087,1.422264,1.441177,1.451551,1.442032,1.447019,1.439387,1.442575,1.439458,1.442182,1.42523,1.461869,1.444293,1.44266,1.435547,1.430163,1.452882,1.449252,1.449443,1.442495,1.441572,1.435867,1.425872,1.384549,1.407374,1.393758,1.41583,1.388418,1.393508,1.38182,1.411089,1.38753,1.398241,1.420945,1.402176,1.391887,1.402053,1.403768,1.402736,1.389866,1.39395,1.393,1.399946,1.408661,1.404775,1.401214,1.405118,1.402033,1.412476,1.397636,1.390547,1.407803,1.408464,1.39106,1.410142,1.3977,1.389364,1.411543,1.392693
800,14.393794,14.369156,14.331204,14.228797,14.109691,14.144386,14.191896,14.427086,14.221731,14.135613,14.439883,14.444609,14.477077,14.317959,14.349468,14.297042,14.278169,14.295136,14.250692,14.388828,14.304033,14.259213,14.212867,14.232076,14.216525,14.207839,14.255313,14.248401,14.448997,14.269166,14.401399,14.332339,14.183791,14.369585,14.086903,14.366406,14.246038,14.243297,14.480495,14.224923,14.379014,14.213475,14.258818,14.511819,14.344088,14.451699,14.253358,14.215636,14.222867,14.27942,14.352662,14.558308,14.374902,14.320197,14.302526,14.245309,14.263319,14.498395,14.126273,14.487636,14.297627,14.508505,14.224748,14.077588,14.392887,14.360502,14.225408,14.254081,14.304408,14.350097,14.226851,14.205236,14.218555,14.212923,14.466665,14.326532,14.226637,14.336277,14.252108,14.355264,14.338388,14.284558,14.173111,14.206186,14.372801,14.232619,14.404136,14.446935,14.441081,14.339948,14.153951,14.244562,14.3947,14.193203,14.250915,14.361557,14.25996,14.16517,14.329645,14.273453,14.381716,14.044362,14.415498,14.136497,14.220563,14.032101,14.268898,14.143469,14.161773,14.034316,14.224614,14.102734,14.232583,14.137719,14.333903,14.333828,14.133361,14.169083,14.156937,14.162905,14.304637,14.271801,14.359024,14.334897,14.311678,14.173372,14.152014,14.226145,14.273357,14.197698,14.257995,14.131681,14.320312,14.035163,14.146868,14.129708
